movieId,avg_rating,comment
1,3.9209302325581397,不推荐
2,3.4318181818181817,不推荐
3,3.2596153846153846,不推荐
4,2.357142857142857,不推荐
5,3.0714285714285716,不推荐
6,3.946078431372549,不推荐
7,3.185185185185185,不推荐
8,2.875,不推荐
9,3.125,不推荐
10,3.496212121212121,不推荐
11,3.6714285714285713,不推荐
12,2.4210526315789473,不推荐
13,3.125,不推荐
14,3.8333333333333335,不推荐
15,3.0,不推荐
16,3.926829268292683,不推荐
17,3.7761194029850746,不推荐
18,3.7,不推荐
19,2.727272727272727,不推荐
20,2.5,不推荐
21,3.49438202247191,不推荐
22,3.2222222222222223,不推荐
23,3.125,不推荐
24,3.125,不推荐
25,3.625,不推荐
26,3.5,不推荐
27,3.3333333333333335,不推荐
28,4.2272727272727275,推荐
29,4.0131578947368425,推荐
30,3.0,不推荐
31,3.1842105263157894,不推荐
32,3.983050847457627,不推荐
34,3.65234375,不推荐
36,3.8358208955223883,不推荐
38,2.125,不推荐
39,3.293269230769231,不推荐
40,4.25,推荐
41,3.7,不推荐
42,3.0,不推荐
43,3.1875,不推荐
44,2.5434782608695654,不推荐
45,3.3125,不推荐
46,3.066666666666667,不推荐
47,3.9753694581280787,不推荐
48,3.1470588235294117,不推荐
49,3.0,不推荐
50,4.237745098039215,推荐
52,3.4642857142857144,不推荐
53,5.0,推荐
54,2.3333333333333335,不推荐
55,4.0,不推荐
57,3.0625,不推荐
58,4.027027027027027,推荐
60,3.235294117647059,不推荐
61,3.75,不推荐
62,3.70625,不推荐
63,2.7142857142857144,不推荐
64,2.2,不推荐
65,2.532258064516129,不推荐
66,2.5,不推荐
68,3.4,不推荐
69,3.775,不推荐
70,3.5090909090909093,不推荐
71,1.7,不推荐
72,3.2142857142857144,不推荐
73,3.4615384615384617,不推荐
74,4.0,不推荐
75,2.2,不推荐
76,3.4,不推荐
77,4.0,不推荐
78,3.3333333333333335,不推荐
79,2.764705882352941,不推荐
80,4.0,不推荐
81,3.107142857142857,不推荐
82,3.875,不推荐
83,3.0,不推荐
85,3.857142857142857,不推荐
86,3.966666666666667,不推荐
87,2.5,不推荐
88,3.15625,不推荐
89,3.25,不推荐
92,2.625,不推荐
93,2.8333333333333335,不推荐
94,3.95,不推荐
95,3.0238095238095237,不推荐
96,3.5,不推荐
97,3.9,不推荐
99,5.0,推荐
100,2.7857142857142856,不推荐
101,3.782608695652174,不推荐
102,2.4,不推荐
103,3.0,不推荐
104,3.4393939393939394,不推荐
105,3.282608695652174,不推荐
106,4.0,不推荐
107,3.326923076923077,不推荐
108,4.0,不推荐
110,4.031645569620253,推荐
111,4.105769230769231,推荐
112,3.5434782608695654,不推荐
113,3.3333333333333335,不推荐
116,3.9,不推荐
117,3.0,不推荐
118,2.5,不推荐
119,3.0,不推荐
121,4.0,不推荐
122,2.65625,不推荐
123,4.375,推荐
125,3.5833333333333335,不推荐
126,2.0,不推荐
128,3.0,不推荐
129,2.0,不推荐
132,2.8333333333333335,不推荐
135,2.9516129032258065,不推荐
137,3.0,不推荐
140,3.5,不推荐
141,3.494186046511628,不推荐
144,3.3333333333333335,不推荐
145,3.2450980392156863,不推荐
146,3.3333333333333335,不推荐
147,3.466666666666667,不推荐
148,5.0,推荐
149,2.0,不推荐
